"gene_type" "gene_name"
"596216" "protein_coding" "RAP2B"
"596224" "lncRNA" "AC078788.1"
"596228" "lncRNA" "AC078788.2"
"596232" "lncRNA" "LINC02006"
"596249" "lncRNA" "C3orf79"
"596264" "lncRNA" "AC068985.1"
"596272" "lncRNA" "ARHGEF26-AS1"
"596342" "protein_coding" "ARHGEF26"
"596469" "protein_coding" "DHX36"
"596734" "protein_coding" "GPR149"
"596748" "lncRNA" "AC092994.1"
"596752" "lncRNA" "AC073359.2"
"596756" "lncRNA" "AC073359.1"
"596760" "protein_coding" "MME"
"597182" "lncRNA" "MME-AS1"
"597186" "lncRNA" "LINC01487"
"597213" "protein_coding" "STRIT1"
"597225" "lncRNA" "AC104831.1"
"597230" "protein_coding" "PLCH1"
"597490" "lncRNA" "PLCH1-AS1"
"597494" "lncRNA" "PLCH1-AS2"
"597498" "lncRNA" "AC104472.1"
"597501" "protein_coding" "C3orf33"
"597579" "protein_coding" "SLC33A1"
"597718" "lncRNA" "AC104472.4"
"597723" "protein_coding" "GMPS"
"597800" "lncRNA" "AC104472.5"
"597804" "protein_coding" "KCNAB1"
"598109" "lncRNA" "AC091607.2"
"598113" "lncRNA" "KCNAB1-AS2"
"598119" "lncRNA" "KCNAB1-AS1"
"598124" "lncRNA" "AC084036.1"
"598127" "protein_coding" "SSR3"
"598221" "lncRNA" "TIPARP-AS1"
"598234" "protein_coding" "TIPARP"
"598344" "lncRNA" "LINC00886"
"598364" "protein_coding" "LEKR1"
"598514" "lncRNA" "LINC00880"
"598524" "lncRNA" "LINC02029"
"598581" "lncRNA" "LINC00881"
"598626" "protein_coding" "CCNL1"
"598929" "lncRNA" "AC104411.1"
"598933" "lncRNA" "AC092944.1"
"598967" "lncRNA" "AC092944.3"
"598971" "protein_coding" "VEPH1"
"599212" "protein_coding" "PTX3"
"599224" "protein_coding" "SLC66A1L"
"599322" "lncRNA" "AC084212.1"
"599326" "lncRNA" "AC079943.2"
"599351" "lncRNA" "AC079943.1"
"599355" "protein_coding" "SHOX2"
"599435" "protein_coding" "RSRC1"
"599697" "lncRNA" "AC106707.1"
"599722" "protein_coding" "MLF1"
"600137" "protein_coding" "GFM1"
"600336" "protein_coding" "LXN"
"600365" "lncRNA" "AC080013.4"
"600368" "lncRNA" "AC080013.6"
"600371" "protein_coding" "RARRES1"
"600413" "protein_coding" "MFSD1"
"600858" "lncRNA" "AC080013.1"
"600893" "lncRNA" "AC080013.3"
"600896" "lncRNA" "AC080013.5"
"600899" "protein_coding" "IQCJ-SCHIP1"
"601112" "protein_coding" "IQCJ"
"601158" "lncRNA" "AC092943.2"
"601164" "lncRNA" "IQCJ-SCHIP1-AS1"
"601171" "protein_coding" "SCHIP1"
"601243" "lncRNA" "IL12A-AS1"
"601332" "protein_coding" "IL12A"
"601401" "lncRNA" "LINC01100"
"601408" "protein_coding" "C3orf80"
"601423" "protein_coding" "IFT80"
"601808" "protein_coding" "SMC4"
"602236" "protein_coding" "TRIM59"
"602311" "protein_coding" "KPNA4"
"602365" "protein_coding" "ARL14"
"602373" "lncRNA" "AC069224.1"
"602376" "protein_coding" "PPM1L"
"602436" "protein_coding" "B3GALNT1"
"603246" "protein_coding" "NMD3"
"603454" "protein_coding" "SPTSSB"
"603495" "lncRNA" "LINC02067"
"603501" "lncRNA" "AC112491.1"
"603505" "protein_coding" "OTOL1"
"603518" "lncRNA" "AC112770.1"
"603522" "lncRNA" "AC131211.1"
"603526" "lncRNA" "AC128685.1"
"603533" "lncRNA" "LINC01192"
"604033" "lncRNA" "AC079910.1"
"604041" "lncRNA" "LINC01323"
"604047" "lncRNA" "LINC01324"
"604056" "protein_coding" "SI"
"604174" "lncRNA" "LINC02023"
"604178" "protein_coding" "SLITRK3"
"604204" "lncRNA" "LINC01322"
"604440" "protein_coding" "BCHE"
"604502" "lncRNA" "LINC01326"
"604506" "lncRNA" "AC069439.2"
"604510" "protein_coding" "ZBBX"
"604822" "lncRNA" "LINC01327"
"604828" "protein_coding" "SERPINI2"
"604974" "protein_coding" "WDR49"
"605176" "protein_coding" "PDCD10"
"605466" "protein_coding" "SERPINI1"
"605556" "lncRNA" "AC079822.1"
"605560" "lncRNA" "AC026353.1"
"605587" "protein_coding" "GOLIM4"
"605664" "lncRNA" "AC069243.1"
"605667" "lncRNA" "AC124893.1"
"605671" "lncRNA" "LINC02082"
"605683" "lncRNA" "AC092954.1"
"605686" "lncRNA" "AC092954.2"
"605689" "lncRNA" "LINC01997"
"605699" "protein_coding" "MECOM"
"606149" "lncRNA" "AC074033.1"
"606156" "lncRNA" "AC007849.1"
"606161" "lncRNA" "TERC"
"606164" "protein_coding" "ACTRT3"
"606174" "lncRNA" "AC078802.1"
"606178" "protein_coding" "MYNN"
"606276" "lncRNA" "AC078795.1"
"606279" "protein_coding" "LRRC34"
"606419" "lncRNA" "AC078795.3"
"606422" "lncRNA" "AC078795.2"
"606425" "protein_coding" "LRRIQ4"
"606440" "protein_coding" "LRRC31"
"606516" "protein_coding" "SAMD7"
"606586" "lncRNA" "AC008040.1"
"606600" "protein_coding" "SEC62"
"606716" "lncRNA" "SEC62-AS1"
"606720" "protein_coding" "GPR160"
"606792" "protein_coding" "PHC3"
"607044" "protein_coding" "PRKCI"
"607112" "lncRNA" "AC073288.1"
"607116" "protein_coding" "SKIL"
"607223" "lncRNA" "AC073288.2"
"607229" "protein_coding" "CLDN11"
"607269" "lncRNA" "SLC7A14-AS1"
"607294" "protein_coding" "SLC7A14"
"607319" "lncRNA" "AC026316.3"
"607323" "lncRNA" "AC026316.5"
"607334" "lncRNA" "AC026316.2"
"607338" "protein_coding" "RPL22L1"
"607405" "protein_coding" "EIF5A2"
"607464" "lncRNA" "AC061708.1"
"607469" "protein_coding" "SLC2A2"
"607561" "protein_coding" "TNIK"
"608165" "lncRNA" "AC092919.1"
"608177" "protein_coding" "PLD1"
"608417" "lncRNA" "TMEM212-AS1"
"608423" "protein_coding" "TMEM212"
"608484" "lncRNA" "TMEM212-IT1"
"608488" "lncRNA" "AC055714.1"
"608498" "protein_coding" "FNDC3B"
"608745" "protein_coding" "GHSR"
"608762" "protein_coding" "TNFSF10"
"608812" "lncRNA" "LINC02068"
"608825" "protein_coding" "NCEH1"
"608912" "lncRNA" "AC108667.2"
"608916" "protein_coding" "ECT2"
"609312" "protein_coding" "SPATA16"
"609359" "lncRNA" "AC068759.1"
"609372" "protein_coding" "NLGN1"
"609469" "lncRNA" "NLGN1-AS1"
"609479" "protein_coding" "NAALADL2"
"609598" "lncRNA" "NAALADL2-AS3"
"609608" "lncRNA" "NAALADL2-AS2"
"609613" "lncRNA" "AC008180.2"
"609617" "lncRNA" "NAALADL2-AS1"
"609622" "lncRNA" "AC104640.1"
"609625" "lncRNA" "LINC01208"
"609661" "lncRNA" "LINC01209"
"609668" "protein_coding" "TBL1XR1"
"610092" "lncRNA" "TBL1XR1-AS1"
"610101" "lncRNA" "LINC00501"
"610105" "lncRNA" "AC117465.1"
"610110" "lncRNA" "LINC00578"
"610169" "lncRNA" "AC026355.3"
"610174" "lncRNA" "AC026355.2"
"610180" "lncRNA" "LINC02015"
"610199" "lncRNA" "AC007953.1"
"610208" "lncRNA" "AC007953.2"
"610216" "lncRNA" "AC110992.1"
"610222" "lncRNA" "AC117453.1"
"610276" "protein_coding" "KCNMB2"
"610398" "lncRNA" "LINC01014"
"610410" "lncRNA" "KCNMB2-AS1"
"610450" "protein_coding" "ZMAT3"
"610523" "lncRNA" "AC076966.2"
"610528" "protein_coding" "PIK3CA"
"610646" "protein_coding" "KCNMB3"
"610734" "protein_coding" "ZNF639"
"610869" "lncRNA" "AC007823.1"
"610872" "protein_coding" "MFN1"
"611058" "protein_coding" "GNB4"
"611141" "lncRNA" "AC007620.2"
"611151" "lncRNA" "AC007620.3"
"611154" "protein_coding" "ACTL6A"
"611326" "lncRNA" "AC090425.3"
"611329" "lncRNA" "AC090425.2"
"611332" "protein_coding" "MRPL47"
"611388" "protein_coding" "NDUFB5"
"611551" "protein_coding" "USP13"
"611694" "protein_coding" "PEX5L"
"612082" "lncRNA" "AC007687.1"
"612085" "lncRNA" "PEX5L-AS1"
"612089" "lncRNA" "PEX5L-AS2"
"612094" "lncRNA" "AC092939.1"
"612099" "lncRNA" "LINC02053"
"612122" "lncRNA" "AC125618.1"
"612127" "protein_coding" "TTC14"
"612318" "protein_coding" "CCDC39"
"612524" "lncRNA" "CCDC39-AS1"
"612528" "lncRNA" "AC108734.4"
"612550" "protein_coding" "FXR1"
"612934" "protein_coding" "DNAJC19"
"613060" "lncRNA" "SOX2-OT"
"613595" "lncRNA" "AC068308.1"
"613664" "lncRNA" "AC125613.1"
"613683" "protein_coding" "SOX2"
"613691" "lncRNA" "LINC01206"
"614518" "lncRNA" "AC012081.2"
"614523" "lncRNA" "AC012081.1"
"614527" "lncRNA" "AC109131.1"
"614531" "lncRNA" "AC084211.1"
"614535" "lncRNA" "LINC01994"
"614541" "lncRNA" "LINC01995"
"614554" "lncRNA" "AC021055.1"
"614559" "lncRNA" "LINC02031"
"614566" "lncRNA" "AC083801.2"
"614569" "lncRNA" "AC069431.1"
"614573" "protein_coding" "ATP11B"
"614804" "lncRNA" "AC092953.2"
"614807" "protein_coding" "DCUN1D1"
"614938" "protein_coding" "MCCC1"
"615335" "lncRNA" "MCCC1-AS1"
"615339" "protein_coding" "LAMP3"
"615397" "protein_coding" "MCF2L2"
"615705" "protein_coding" "B3GNT5"
"615776" "protein_coding" "KLHL6"
"615825" "lncRNA" "KLHL6-AS1"
"615829" "protein_coding" "KLHL24"
"615975" "protein_coding" "YEATS2"
"616073" "lncRNA" "YEATS2-AS1"
"616088" "protein_coding" "MAP6D1"
"616123" "protein_coding" "PARL"
"616356" "protein_coding" "ABCC5"
"616684" "lncRNA" "ABCC5-AS1"
"616689" "protein_coding" "HTR3D"
"616760" "protein_coding" "HTR3C"
"616784" "lncRNA" "HTR3E-AS1"
"616789" "protein_coding" "HTR3E"
"616905" "lncRNA" "AC131235.3"
"616908" "lncRNA" "AC131235.2"
"616917" "protein_coding" "EIF2B5"
"617654" "protein_coding" "DVL3"
"617821" "protein_coding" "AP2M1"
"618094" "protein_coding" "ABCF3"
"618314" "protein_coding" "VWA5B2"
"618425" "protein_coding" "ALG3"
"618591" "protein_coding" "EEF1AKMT4"
"618603" "protein_coding" "CAMK2N2"
"618613" "protein_coding" "ECE2"
"618831" "protein_coding" "PSMD2"
"619085" "protein_coding" "EIF4G1"
"620366" "protein_coding" "FAM131A"
"620514" "protein_coding" "CLCN2"
"621117" "protein_coding" "POLR2H"
"621246" "protein_coding" "THPO"
"621363" "protein_coding" "CHRD"
"621722" "lncRNA" "LINC02054"
"621744" "lncRNA" "LINC01839"
"621748" "lncRNA" "LINC01840"
"621752" "protein_coding" "EPHB3"
"621796" "protein_coding" "MAGEF1"
"621804" "lncRNA" "AC107294.2"
"621844" "lncRNA" "LINC02069"
"621859" "lncRNA" "AC107294.3"
"621862" "lncRNA" "AC107294.1"
"621865" "protein_coding" "VPS8"
"622505" "protein_coding" "C3orf70"
"622515" "lncRNA" "EHHADH-AS1"
"622529" "protein_coding" "EHHADH"
"622591" "protein_coding" "MAP3K13"
"622859" "protein_coding" "TMEM41A"
"622918" "lncRNA" "AC099661.1"
"622922" "protein_coding" "LIPH"
"623000" "protein_coding" "SENP2"
"623189" "protein_coding" "IGF2BP2"
"623370" "lncRNA" "IGF2BP2-AS1"
"623395" "protein_coding" "TRA2B"
"623557" "protein_coding" "ETV5"
"623731" "lncRNA" "ETV5-AS1"
"623735" "protein_coding" "DGKG"
"623960" "lncRNA" "LINC02020"
"624078" "lncRNA" "LINC02052"
"624192" "lncRNA" "LINC02051"
"624196" "protein_coding" "CRYGS"
"624224" "protein_coding" "TBCCD1"
"624307" "protein_coding" "DNAJB11"
"624371" "lncRNA" "AC068631.1"
"624647" "protein_coding" "AHSG"
"624691" "protein_coding" "FETUB"
"624814" "protein_coding" "HRG"
"624844" "protein_coding" "KNG1"
"624925" "lncRNA" "AC112907.3"
"624928" "protein_coding" "EIF4A2"
"625200" "protein_coding" "RFC4"
"625397" "lncRNA" "AC112907.1"
"625401" "lncRNA" "LINC02043"
"625407" "protein_coding" "ADIPOQ"
"625432" "lncRNA" "ADIPOQ-AS1"
"625437" "protein_coding" "ST6GAL1"
"625663" "protein_coding" "RPL39L"
"625697" "lncRNA" "AC007920.1"
"625704" "protein_coding" "RTP1"
"625714" "protein_coding" "MASP1"
"625914" "lncRNA" "AC007920.2"
"625918" "protein_coding" "RTP4"
"625928" "lncRNA" "LINC02041"
"625932" "protein_coding" "SST"
"625942" "protein_coding" "RTP2"
"625952" "lncRNA" "AC072022.1"
"625961" "protein_coding" "BCL6"
"626115" "protein_coding" "AC072022.2"
"626125" "lncRNA" "AC108681.1"
"626133" "lncRNA" "AC068295.1"
"626137" "lncRNA" "LINC01991"
"626144" "lncRNA" "AC092941.1"
"626148" "lncRNA" "AC092941.2"
"626152" "lncRNA" "AC022498.1"
"626165" "lncRNA" "LPP-AS2"
"626168" "protein_coding" "LPP"
"626397" "lncRNA" "LPP-AS1"
"626401" "lncRNA" "TPRG1-AS1"
"626405" "protein_coding" "TPRG1"
"626532" "lncRNA" "TPRG1-AS2"
"626537" "protein_coding" "TP63"
"626868" "protein_coding" "P3H2"
"626986" "lncRNA" "P3H2-AS1"
"626993" "protein_coding" "CLDN1"
"627010" "protein_coding" "CLDN16"
"627040" "protein_coding" "TMEM207"
"627056" "protein_coding" "IL1RAP"
"627388" "lncRNA" "AC108747.1"
"627391" "lncRNA" "LINC02013"
"627406" "protein_coding" "GMNC"
"627445" "protein_coding" "OSTN"
"627468" "lncRNA" "OSTN-AS1"
"627480" "protein_coding" "UTS2B"
"627594" "protein_coding" "CCDC50"
"627654" "lncRNA" "AC073365.1"
"627860" "protein_coding" "PYDC2"
"627867" "lncRNA" "AC026320.1"
"627879" "lncRNA" "AC026320.3"
"627885" "protein_coding" "FGF12"
"627985" "lncRNA" "FGF12-AS1"
"627996" "lncRNA" "FGF12-AS2"
"628000" "lncRNA" "FGF12-AS3"
"628004" "protein_coding" "MB21D2"
"628014" "lncRNA" "AC092966.1"
"628019" "protein_coding" "PLAAT1"
"628054" "protein_coding" "ATP13A5"
"628167" "lncRNA" "ATP13A5-AS1"
"628171" "protein_coding" "ATP13A4"
"628509" "lncRNA" "ATP13A4-AS1"
"628517" "protein_coding" "OPA1"
"629974" "lncRNA" "OPA1-AS1"
"629982" "lncRNA" "AC069421.2"
"629986" "lncRNA" "AC069421.3"
"629992" "lncRNA" "LINC02038"
"630000" "lncRNA" "LINC02026"
"630014" "lncRNA" "AC024559.1"
"630019" "lncRNA" "LINC02028"
"630316" "lncRNA" "AC024559.2"
"630332" "lncRNA" "AC080129.1"
"630336" "lncRNA" "AC080129.2"
"630340" "protein_coding" "HES1"
"630357" "lncRNA" "LINC02036"
"630408" "lncRNA" "LINC02037"
"630424" "lncRNA" "LINC02048"
"630433" "lncRNA" "LINC00887"
"630479" "lncRNA" "AC117469.1"
"630483" "protein_coding" "CPN2"
"630501" "protein_coding" "LRRC15"
"630522" "protein_coding" "GP5"
"630530" "protein_coding" "ATP13A3"
"631002" "lncRNA" "LINC00884"
"631044" "lncRNA" "AC108676.1"
"631048" "lncRNA" "TMEM44-AS1"
"631065" "protein_coding" "TMEM44"
"631291" "lncRNA" "AC046143.1"
"631295" "lncRNA" "AC046143.2"
"631298" "protein_coding" "LSG1"
"631385" "protein_coding" "FAM43A"
"631393" "lncRNA" "AC106706.1"
"631431" "lncRNA" "AC106706.2"
"631435" "lncRNA" "LINC01968"
"631600" "lncRNA" "LINC01972"
"631605" "lncRNA" "AC090505.2"
"631610" "protein_coding" "XXYLT1"
"631708" "lncRNA" "XXYLT1-AS1"
"631714" "lncRNA" "XXYLT1-AS2"
"631721" "lncRNA" "AC090018.2"
"631725" "protein_coding" "ACAP2"
"631986" "lncRNA" "ACAP2-IT1"
"631990" "protein_coding" "PPP1R2"
"632066" "lncRNA" "AC069213.1"
"632076" "protein_coding" "APOD"
"632144" "lncRNA" "AC233280.1"
"632149" "protein_coding" "MUC20"
"632223" "protein_coding" "MUC4"
"633135" "lncRNA" "LINC01983"
"633145" "protein_coding" "TNK2"
"633684" "lncRNA" "AC124944.3"
"633688" "lncRNA" "TNK2-AS1"
"633701" "lncRNA" "AC024937.3"
"633710" "protein_coding" "TFRC"
"633909" "lncRNA" "LINC00885"
"633939" "protein_coding" "ZDHHC19"
"634027" "protein_coding" "SLC51A"
"634133" "protein_coding" "PCYT1A"
"634347" "lncRNA" "AC069257.1"
"634354" "protein_coding" "TCTEX1D2"
"634408" "lncRNA" "TM4SF19-AS1"
"634418" "protein_coding" "TM4SF19"
"634471" "protein_coding" "UBXN7"
"634570" "lncRNA" "UBXN7-AS1"
"634574" "protein_coding" "RNF168"
"634607" "lncRNA" "AC117490.2"
"634610" "protein_coding" "SMCO1"
"634633" "protein_coding" "WDR53"
"634683" "protein_coding" "FBXO45"
"634706" "lncRNA" "AC092933.2"
"634711" "lncRNA" "LINC01063"
"634715" "protein_coding" "NRROS"
"634730" "protein_coding" "PIGX"
"634877" "protein_coding" "CEP19"
"634898" "protein_coding" "PAK2"
"634952" "protein_coding" "SENP5"
"635052" "lncRNA" "AC016949.1"
"635056" "protein_coding" "NCBP2"
"635172" "lncRNA" "NCBP2-AS1"
"635177" "protein_coding" "NCBP2AS2"
"635185" "protein_coding" "PIGZ"
"635216" "lncRNA" "AC011322.1"
"635222" "protein_coding" "MELTF"
"635304" "lncRNA" "MELTF-AS1"
"635322" "protein_coding" "DLG1"
"638328" "lncRNA" "DLG1-AS1"
"638346" "lncRNA" "AL121981.1"
"638352" "lncRNA" "AC128709.2"
"638357" "lncRNA" "AC128709.1"
"638362" "lncRNA" "AC128709.3"
"638366" "lncRNA" "LINC02012"
"638369" "protein_coding" "BDH1"
"638576" "lncRNA" "AC024560.3"
"638579" "lncRNA" "AC024560.4"
"638583" "lncRNA" "AC024560.1"
"638587" "lncRNA" "AC024560.5"
"638591" "protein_coding" "RUBCN"
"638808" "protein_coding" "FYTTD1"
"638964" "lncRNA" "AC055764.2"
"638967" "protein_coding" "LRCH3"
"639342" "lncRNA" "AC055764.1"
"639346" "protein_coding" "IQCG"
"639487" "protein_coding" "RPL35A"
"639586" "protein_coding" "LMLN"
"639793" "lncRNA" "AC135893.1"
"639798" "lncRNA" "LMLN-AS1"
"639803" "protein_coding" "ZNF595"
"639854" "protein_coding" "ZNF718"
"639896" "lncRNA" "AC253576.2"
"639899" "protein_coding" "ZNF732"
"639922" "lncRNA" "AC079140.6"
"639926" "protein_coding" "ZNF141"
"639979" "lncRNA" "AC092574.2"
"639983" "lncRNA" "AC092574.1"
"639986" "protein_coding" "ZNF721"
"640054" "protein_coding" "PIGG"
"640343" "protein_coding" "TMEM271"
"640351" "lncRNA" "AC116565.1"
"640370" "protein_coding" "PDE6B"
"640594" "lncRNA" "AC107464.1"
"640608" "lncRNA" "AC107464.3"
"640611" "protein_coding" "ATP5ME"
"640640" "protein_coding" "MYL5"
"640776" "protein_coding" "SLC49A3"
"640934" "protein_coding" "PCGF3"
"641133" "lncRNA" "AC107464.2"
"641137" "lncRNA" "AC139887.4"
"641140" "lncRNA" "AC139887.2"
"641162" "lncRNA" "AC139887.1"
"641166" "protein_coding" "CPLX1"
"641207" "lncRNA" "AC139887.3"
"641210" "lncRNA" "AC139887.5"
"641214" "protein_coding" "GAK"
"641538" "protein_coding" "TMEM175"
"641881" "protein_coding" "DGKQ"
"642016" "protein_coding" "SLC26A1"
"642068" "protein_coding" "IDUA"
"642220" "protein_coding" "FGFRL1"
"642320" "lncRNA" "AC019103.1"
"642324" "protein_coding" "RNF212"
"642516" "lncRNA" "AC092535.4"
"642524" "lncRNA" "AC092535.2"
"642528" "protein_coding" "SPON2"
"642703" "lncRNA" "AC092535.5"
"642706" "lncRNA" "CTBP1-AS"
"642714" "protein_coding" "CTBP1"
"642908" "lncRNA" "CTBP1-DT"
"642929" "protein_coding" "MAEA"
"643197" "protein_coding" "UVSSA"
"643354" "lncRNA" "AC078852.2"
"643358" "lncRNA" "AC078852.1"
"643362" "protein_coding" "CRIPAK"
"643370" "protein_coding" "NKX1-1"
"643379" "lncRNA" "AC147067.2"
"643382" "lncRNA" "AC147067.1"
"643386" "protein_coding" "FAM53A"
"643468" "protein_coding" "SLBP"
"643577" "lncRNA" "AC016773.1"
"643583" "protein_coding" "TACC3"
"643911" "protein_coding" "TMEM129"
"643975" "protein_coding" "FGFR3"
"644274" "protein_coding" "LETM1"
"644335" "protein_coding" "NSD2"
"644911" "protein_coding" "NELFA"
"645136" "protein_coding" "C4orf48"
"645163" "protein_coding" "NAT8L"
"645185" "protein_coding" "POLN"
"645404" "protein_coding" "HAUS3"
"645572" "lncRNA" "AL136360.2"
"645576" "protein_coding" "MXD4"
"645633" "protein_coding" "ZFYVE28"
"645819" "lncRNA" "AL158068.2"
"645824" "protein_coding" "CFAP99"
"645922" "protein_coding" "RNF4"
"646192" "lncRNA" "AL645924.1"
"646196" "protein_coding" "FAM193A"
"646587" "protein_coding" "TNIP2"
"646653" "protein_coding" "SH3BP2"
"647020" "protein_coding" "ADD1"
"647511" "lncRNA" "AL121750.1"
"647515" "protein_coding" "MFSD10"
"647739" "lncRNA" "NOP14-AS1"
"647806" "protein_coding" "NOP14"
"647974" "protein_coding" "GRK4"
"648147" "protein_coding" "HTT"
"648425" "lncRNA" "HTT-AS"
"648442" "protein_coding" "MSANTD1"
"648501" "protein_coding" "RGS12"
"648813" "protein_coding" "HGFAC"
"648897" "lncRNA" "AL590235.2"
"648901" "protein_coding" "DOK7"
"648988" "protein_coding" "LRPAP1"
"649067" "lncRNA" "AL590235.1"
"649078" "lncRNA" "LINC00955"
"649088" "lncRNA" "AL121796.1"
"649092" "lncRNA" "LINC02171"
"649097" "lncRNA" "LINC02600"
"649101" "protein_coding" "ADRA2C"
"649118" "protein_coding" "OTOP1"
"649136" "protein_coding" "TMEM128"
"649167" "protein_coding" "LYAR"
"649232" "protein_coding" "ZBTB49"
"649313" "lncRNA" "AC105415.1"
"649318" "protein_coding" "NSG1"
"649482" "protein_coding" "STX18"
"649596" "lncRNA" "STX18-IT1"
"649602" "lncRNA" "STX18-AS1"
"649693" "lncRNA" "LINC01396"
"649707" "protein_coding" "MSX1"
"649720" "protein_coding" "CYTL1"
"649750" "protein_coding" "STK32B"
"649892" "lncRNA" "LINC01587"
"649909" "protein_coding" "EVC2"
"650110" "protein_coding" "EVC"
"650198" "protein_coding" "CRMP1"
"650330" "protein_coding" "C4orf50"
"650444" "protein_coding" "JAKMIP1"
"650700" "protein_coding" "AC092442.1"
"650709" "lncRNA" "AC113615.2"
"650714" "lncRNA" "AC113615.1"
"650718" "protein_coding" "WFS1"
"650785" "lncRNA" "AC116317.1"
"650798" "protein_coding" "PPP2R2C"
"650952" "protein_coding" "MAN2B2"
"651084" "protein_coding" "MRFAP1"
"651129" "lncRNA" "LINC02482"
"651156" "protein_coding" "AC093323.1"
"651186" "lncRNA" "LINC002481"
"651191" "protein_coding" "S100P"
"651204" "protein_coding" "MRFAP1L1"
"651216" "protein_coding" "BLOC1S4"
"651224" "lncRNA" "AC106045.1"
"651228" "protein_coding" "KIAA0232"
"651293" "protein_coding" "TBC1D14"
"651483" "lncRNA" "AC097382.3"
"651486" "lncRNA" "AC097382.1"
"651490" "lncRNA" "AC097382.2"
"651496" "protein_coding" "CCDC96"
"651504" "protein_coding" "TADA2B"
"651544" "protein_coding" "GRPEL1"
"651571" "lncRNA" "LINC02447"
"651584" "protein_coding" "SORCS2"
"651719" "protein_coding" "PSAPL1"
"651727" "lncRNA" "AFAP1-AS1"
"651731" "protein_coding" "AFAP1"
"651922" "lncRNA" "AC112254.1"
"651926" "lncRNA" "AC097381.1"
"651931" "protein_coding" "ABLIM2"
"652347" "lncRNA" "AC097381.3"
"652350" "lncRNA" "AC097381.2"
"652354" "protein_coding" "SH3TC1"
"652640" "protein_coding" "HTRA3"
"652683" "lncRNA" "LINC02517"
"652734" "lncRNA" "AC104825.1"
"652737" "protein_coding" "ACOX3"
"652902" "protein_coding" "TRMT44"
"652983" "lncRNA" "AC105345.2"
"652987" "lncRNA" "AC105345.1"
"653000" "protein_coding" "GPR78"
"653070" "protein_coding" "CPZ"
"653195" "lncRNA" "AC209005.1"
"653200" "protein_coding" "HMX1"
"653219" "lncRNA" "AC116612.1"
"653223" "lncRNA" "AC108519.1"
"653255" "lncRNA" "AC073648.7"
"653259" "protein_coding" "FAM90A26"
"653279" "protein_coding" "USP17L10"
"653296" "protein_coding" "USP17L11"
"653313" "protein_coding" "USP17L12"
"653320" "protein_coding" "USP17L13"
"653337" "protein_coding" "USP17L15"
"653350" "protein_coding" "USP17L17"
"653367" "protein_coding" "USP17L18"
"653384" "protein_coding" "USP17L19"
"653401" "protein_coding" "USP17L20"
"653418" "protein_coding" "USP17L21"
"653435" "protein_coding" "USP17L22"
"653452" "protein_coding" "USP17L23"
"653457" "protein_coding" "USP17L24"
"653474" "protein_coding" "USP17L25"
"653491" "protein_coding" "USP17L26"
"653508" "protein_coding" "USP17L5"
"653515" "protein_coding" "USP17L27"
"653522" "protein_coding" "USP17L28"
"653529" "protein_coding" "USP17L29"
"653536" "protein_coding" "USP17L30"
"653543" "protein_coding" "DEFB131A"
"653552" "lncRNA" "AC105916.1"
"653559" "protein_coding" "SLC2A9"
"653712" "protein_coding" "DRD5"
"653720" "lncRNA" "AC108199.1"
"653724" "lncRNA" "AC005674.1"
"653728" "lncRNA" "AC005674.2"
"653732" "protein_coding" "WDR1"
"653958" "protein_coding" "ZNF518B"
"653987" "lncRNA" "AC005599.1"
"653992" "protein_coding" "CLNK"
"654122" "lncRNA" "AC084048.1"
"654127" "lncRNA" "LINC02498"
"654132" "protein_coding" "HS3ST1"
"654156" "lncRNA" "AC006230.1"
"654171" "lncRNA" "AC025539.1"
"654175" "lncRNA" "AC005699.1"
